,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,314.253,-0.822699999999996,120.69,9,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,399.437,1.55,89.41,7,1,6,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,0
0,168.0377992,2.0835,9.23,7,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0,242.33782,0.862,64.52,4,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,416.51718,0.668100000000003,86.71,9,0,10,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,2,0,0
0,236.3101,1.1807,58.72,4,2,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,288.42772,3.3737,35.5,3,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,2,0,0
0,315.36364,0.774999999999999,62.16,5,1,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0,2,4,7,1
0,339.47116,5.21860000000001,32.7,3,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0
0,285.42378,3.9301,23.47,2,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,3,5,1
0,314.48814,3.4741,15.27,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,3,3,4,1
0,263.3752,2.6745,32.7,3,1,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0
0,335.4643,2.6076,67.76,5,2,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,3,2,0,0
0,269.34486,0.267200000000003,42.57,5,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0
0,335.4643,2.7038,58.97,5,1,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,3,1,0,0
0,246.26186,0.410799999999999,75.96,5,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0
